20 250 4
5 1 2 5
70 150 191 250
26545 21694 15810 10185
17 99 49 50
51 74 89 19
16 44 26 41
48 10 13 46
11 41 34 60
29 90 91 69
35 99 29 53
99 51 52 45
54 65 18 93
21 27 44 32
73 40 97 58
42 61 53 45
87 58 76 68
17 85 84 18
77 24 13 24
21 44 100 43
67 44 92 38
82 32 63 37
39 22 35 74
99 61 44 87
91 20 88 79
24 99 35 68
98 45 60 80
87 11 85 55
60 27 100 26
45 37 47 79
30 21 15 36
25 39 24 48
65 97 93 57
48 94 23 73
11 87 100 78
44 10 92 51
16 91 14 25
52 10 17 37
25 65 75 86
22 51 100 39
82 39 33 91
63 85 51 29
63 12 93 18
54 70 94 87
55 83 30 56
93 50 43 64
16 80 96 20
44 43 42 92
12 57 50 13
20 55 51 69
11 92 77 67
77 81 58 52
93 18 11 19
99 99 33 40
94 57 90 74
23 33 92 13
99 31 54 73
92 58 88 38
85 27 62 15
27 94 86 50
54 72 71 36
79 69 54 36
54 59 76 40
93 71 70 40
59 57 26 59
79 43 73 25
29 99 86 19
58 98 92 17
60 95 12 92
92 53 95 15
28 74 38 94
53 34 55 68
64 72 29 43
88 15 72 46
75 43 35 81
13 48 36 38
90 21 52 86
25 76 39 100
40 22 36 75
24 95 13 82
30 59 11 49
77 40 55 91
25 90 53 66
97 46 48 36
56 80 72 44
63 87 15 23
80 36 59 28
32 88 71 97
62 93 78 80
73 75 40 11
14 11 60 91
31 58 58 13
74 54 15 91
16 29 29 12
21 16 85 83
74 53 29 48
27 100 75 93
32 27 75 85
16 98 97 43
61 85 60 21
15 93 78 16
61 26 84 17
79 25 95 21
62 37 49 57
31 19 80 51
71 62 57 67
88 92 60 12
37 24 65 31
96 23 78 31
34 48 21 20
92 40 27 20
18 43 67 92
48 55 97 98
51 48 22 99
27 70 72 95
71 87 74 20
99 31 23 40
67 55 64 93
52 45 62 57
57 44 52 21
47 79 20 59
72 97 96 77
67 22 64 50
94 67 99 71
18 41 11 57
89 59 79 86
10 67 100 66
42 16 96 89
96 63 98 46
100 68 81 72
15 13 86 35
43 17 44 38
64 89 100 79
85 46 29 79
28 48 33 74
55 82 75 60
22 16 56 53
45 53 20 12
38 26 39 18
47 76 52 73
38 45 32 19
92 17 98 58
81 63 69 56
68 23 79 84
91 51 85 47
22 81 94 29
26 81 79 37
21 11 61 18
91 47 20 21
18 75 79 59
17 23 33 94
71 47 43 74
59 84 48 61
41 69 62 46
13 14 76 93
80 98 27 86
88 66 95 86
57 87 17 28
23 44 42 47
41 54 94 36
52 10 68 80
65 21 45 39
95 46 96 62
