20 250 4
1 1 1 1
89 143 193 250
25847 21875 15697 9821
98 34 55 88
80 52 62 44
45 35 80 41
15 96 19 25
87 72 100 77
22 99 94 29
53 58 78 71
80 64 13 26
41 73 88 50
36 33 33 78
79 35 16 39
11 14 91 70
88 58 51 91
45 84 65 92
12 26 61 58
29 77 34 73
95 90 34 79
58 86 27 89
81 83 17 13
64 28 39 41
41 93 61 75
92 12 33 59
92 55 47 72
52 41 66 17
59 73 58 63
36 83 11 39
49 82 90 62
95 66 67 31
17 45 48 21
18 62 45 87
11 14 54 27
45 60 48 82
12 17 81 96
84 37 67 21
37 97 64 85
63 52 44 89
29 90 68 57
60 92 65 85
97 83 92 78
91 32 18 47
93 83 16 93
86 65 86 34
31 37 96 79
39 29 53 18
58 56 87 65
59 56 35 19
75 65 70 64
23 71 68 56
58 27 55 82
34 17 83 95
39 26 88 14
80 12 26 66
43 98 22 69
71 64 74 35
44 87 64 58
28 79 46 61
76 74 44 17
78 100 50 60
76 13 39 89
67 86 89 91
95 64 99 18
72 33 22 36
98 84 79 97
73 79 69 90
72 95 31 15
19 59 91 26
77 11 59 81
12 60 87 71
52 16 52 45
16 24 38 49
55 31 85 26
33 99 79 45
94 77 71 62
30 37 58 60
80 37 19 68
30 26 45 70
80 77 32 52
38 55 61 93
57 32 11 33
38 17 89 64
76 79 72 42
35 32 76 36
77 68 75 48
84 84 42 61
14 25 63 76
32 65 53 97
19 31 18 19
14 79 50 87
78 64 29 64
72 68 20 44
55 87 75 32
45 74 61 62
50 50 54 85
20 79 43 86
51 65 50 12
28 100 82 78
40 72 40 47
96 58 32 82
88 66 51 52
91 90 91 46
41 19 100 12
33 28 43 52
71 36 61 78
50 41 48 14
16 16 96 26
42 68 22 20
61 46 59 76
84 40 22 81
34 44 23 25
44 83 11 38
23 82 30 80
26 13 34 84
88 87 79 20
37 20 37 66
22 35 91 11
34 99 36 100
97 97 77 81
21 80 43 13
97 71 100 44
38 60 24 76
70 50 34 55
17 22 31 85
13 93 12 52
95 55 10 45
37 56 35 24
58 61 42 66
48 43 38 91
88 51 57 94
69 97 88 57
56 12 41 85
56 21 100 29
84 45 43 24
100 54 73 90
44 66 35 97
14 92 12 70
95 41 54 72
82 47 73 52
22 16 16 47
90 81 85 36
48 83 84 57
84 29 73 66
54 79 35 43
79 51 95 95
74 53 31 62
56 49 39 11
56 28 54 44
35 22 76 47
62 68 21 16
74 20 84 18
93 55 72 13
62 28 94 25
25 19 41 96
63 33 18 91
73 80 22 67
87 10 73 10
66 66 15 31
12 19 59 77
74 74 18 19
84 87 41 99
49 30 44 97
62 37 75 67
84 59 77 99
41 36 33 14
40 44 94 66
100 38 74 95
54 53 91 89
89 71 25 22
34 65 26 35
26 65 23 58
47 40 14 50
53 38 31 34
32 24 72 94
45 61 64 22
88 63 27 87
94 82 21 25
55 48 15 24
66 22 89 41
41 75 10 36
90 88 67 73
55 94 75 58
24 38 42 38
41 19 77 36
89 73 54 14
77 74 67 47
71 60 92 36
38 50 44 27
35 23 27 28
77 23 93 95
88 11 66 48
47 89 60 81
34 14 51 61
12 20 55 86
12 61 15 41
47 16 34 96
33 47 50 40
44 71 73 97
50 66 18 43
34 36 42 14
27 13 23 59
82 80 79 20
69 62 86 43
85 38 68 25
