20 100 4
2 1 2 2
37 62 81 100
13445 10634 9210 6742
90 33 77 50
88 85 54 29
58 48 22 75
93 74 33 34
82 33 13 88
67 83 15 42
99 49 48 99
51 27 86 14
49 12 75 81
79 28 11 66
74 78 16 10
64 27 86 35
36 95 38 72
85 74 34 78
18 80 77 74
54 81 73 32
64 57 91 87
88 74 26 54
22 12 62 79
62 46 99 36
80 24 74 20
83 88 55 19
36 82 55 43
74 67 31 68
90 28 34 51
66 91 74 32
41 83 73 44
73 15 69 33
59 36 58 83
26 26 39 70
13 57 48 40
78 79 41 14
68 54 47 10
36 91 49 20
31 10 47 39
69 11 100 65
55 54 93 11
96 17 64 78
12 62 10 71
88 56 78 65
85 62 51 18
53 89 44 25
72 18 42 20
39 45 94 15
26 63 20 43
60 75 45 84
66 98 29 51
14 14 60 95
77 59 31 34
89 36 84 75
55 95 88 14
99 12 74 94
57 14 90 34
89 60 56 69
61 82 45 61
19 20 89 62
66 48 84 70
91 75 99 92
82 64 79 92
68 10 70 70
87 69 92 36
36 95 96 44
95 25 54 76
36 13 57 42
13 24 32 92
13 72 40 10
91 47 85 86
10 41 54 68
70 77 35 29
10 11 72 26
79 31 92 91
99 26 79 29
39 31 60 81
53 77 88 94
19 72 53 44
46 49 77 43
90 37 28 62
14 32 45 97
46 98 59 17
78 24 55 64
92 79 14 81
26 54 27 12
36 73 26 95
33 96 61 29
54 82 53 37
75 93 53 82
43 63 12 22
52 50 16 55
34 57 23 42
54 63 47 27
12 73 83 48
37 55 35 74
45 51 29 74
39 51 65 73
55 33 96 99
61 90 59 87
22 42 24 15
82 54 25 69
37 80 35 18
74 66 16 50
12749 10858 8700 7059
74 34 26 46
36 94 61 25
41 79 59 61
75 53 76 84
29 83 24 87
84 49 89 90
81 17 52 94
35 13 87 91
96 36 39 99
36 90 13 85
56 25 53 17
64 52 90 31
93 35 31 38
41 94 47 83
97 94 26 89
26 81 20 52
84 66 83 43
42 92 41 47
87 29 12 15
85 17 58 100
97 32 27 77
77 36 95 88
46 69 82 95
51 88 71 73
68 13 28 33
39 81 58 75
70 32 87 89
50 63 94 94
19 67 19 57
16 16 30 29
36 18 75 53
14 89 41 70
18 86 64 44
50 10 39 52
96 81 68 53
