20 250 4
2 1 1 1
123 166 208 250
25581 20450 15589 10856
80 100 37 84
87 48 39 42
70 89 74 98
22 54 19 63
57 60 29 73
58 85 43 25
34 14 59 18
55 19 22 22
49 30 79 94
81 38 34 25
57 13 81 69
23 100 24 48
46 51 42 34
19 61 27 90
68 75 95 69
79 31 83 31
81 27 29 79
85 81 75 37
57 95 80 26
57 66 17 24
51 100 39 59
79 22 36 43
82 81 36 43
73 40 19 93
84 68 42 53
91 90 59 39
84 64 68 45
95 89 10 21
98 35 72 40
25 100 37 15
72 37 71 11
56 52 63 12
87 18 48 98
62 59 26 58
58 88 59 77
54 49 40 87
41 91 75 25
84 76 65 67
41 24 76 37
23 82 12 51
65 46 21 46
26 12 72 47
21 89 20 29
30 21 56 56
72 52 77 13
51 38 43 55
23 76 69 18
51 59 38 24
15 62 48 67
24 65 96 30
30 53 49 41
48 62 20 57
39 77 63 32
24 85 87 22
93 19 77 72
33 73 80 34
68 19 42 91
66 30 20 39
80 90 59 50
66 11 48 23
25 51 12 10
41 40 71 53
88 47 63 21
29 60 27 98
65 59 94 82
66 53 50 88
65 36 27 80
37 71 77 44
75 68 13 27
15 55 65 15
68 14 85 21
54 66 86 82
25 70 92 70
36 25 44 21
63 17 67 70
77 55 13 11
42 95 96 12
18 100 22 93
31 41 68 14
94 28 86 80
58 30 74 48
71 39 60 63
50 35 99 42
56 72 37 80
53 13 23 37
82 66 36 78
73 34 14 66
76 76 13 45
28 37 25 66
49 64 36 24
42 60 27 38
25 57 65 92
19 44 53 44
33 33 28 89
51 90 20 44
21 48 96 77
75 44 84 90
23 27 84 27
78 19 78 89
17 83 95 53
44 91 73 14
12 53 93 27
94 49 70 63
56 95 17 82
38 96 82 96
16 67 20 41
49 54 70 39
57 69 38 45
86 88 70 56
34 52 23 34
89 41 26 23
48 22 29 27
58 82 94 22
74 22 25 35
37 93 29 91
99 82 25 62
57 32 65 100
61 41 89 67
44 61 82 89
93 68 85 70
94 40 31 78
96 22 15 36
88 11 23 12
61 33 60 27
70 27 95 70
18 56 43 14
97 99 14 99
85 30 30 99
53 84 22 87
71 47 39 46
68 82 68 63
58 29 92 55
100 33 50 52
19 35 87 98
32 30 46 76
22 77 87 49
71 93 22 82
53 38 97 51
79 74 18 96
45 60 46 20
86 72 30 67
51 19 50 36
82 63 25 86
38 86 34 49
76 99 11 100
67 71 44 20
37 68 39 55
20 42 55 46
59 87 44 17
70 91 69 50
47 58 35 93
62 41 62 87
43 45 85 19
47 67 18 10
88 46 57 29
39 60 78 22
17 62 11 69
40 30 71 99
50 33 66 40
67 65 82 93
21 75 75 90
47 26 61 100
33 66 52 53
11 91 11 35
92 55 77 86
22 25 67 68
88 18 13 19
29 71 46 85
19 70 29 57
74 20 18 33
43 25 59 41
89 66 35 76
13 30 82 23
51 79 39 67
41 94 56 12
37 17 57 31
84 59 62 26
38 68 95 44
41 71 80 88
77 65 83 64
56 54 25 73
29 89 23 35
55 56 39 74
44 55 72 12
49 58 83 63
51 87 95 54
27 12 61 45
70 37 99 34
31 11 36 95
61 18 73 77
80 83 18 40
78 72 78 99
70 70 94 88
39 51 87 64
90 42 26 19
20 38 64 30
71 81 93 79
16 85 80 62
92 17 62 80
58 48 100 55
60 36 80 92
42 26 80 26
38 60 43 50
37 17 61 92
37 33 91 74
39 72 46 59
68 27 46 54
62 19 18 34
95 41 14 54
40 34 88 98
34 50 85 49
87 65 50 22
94 88 69 63
37 24 54 46
43 43 51 73
85 45 93 41
97 35 52 70
95 85 42 29
51 49 93 40
14 35 98 41
61 32 14 86
38 56 50 47
18 12 27 54
53 80 14 15
78 66 54 57
96 70 59 29
41 49 13 30
100 48 36 31
60 91 96 78
62 67 78 49
34 59 54 49
64 70 49 92
24 89 30 73
73 59 55 19
53 65 31 65
21 68 99 38
47 68 32 99
85 47 47 100
13 69 12 32
20 88 35 91
36 35 94 31
57 97 86 78
30 10 13 88
12 43 70 29
75 45 68 44
54 66 78 27
22 68 42 44
42 35 70 86
30 19 42 70
91 15 83 30
25362 20303 14629 10107
70 47 61 56
12 61 97 72
25 84 63 29
13 32 47 71
31 76 72 14
45 30 37 87
13 68 19 32
85 86 27 93
64 50 48 90
83 32 40 48
68 77 76 63
75 70 46 15
44 67 28 13
35 16 79 58
89 83 98 98
53 91 61 12
85 33 46 42
24 59 75 26
41 43 89 82
15 15 41 46
32 74 47 22
20 10 99 57
70 84 52 21
88 57 35 53
38 34 23 64
40 55 10 34
11 41 46 52
89 86 23 62
69 95 40 91
72 76 19 24
39 22 57 95
20 82 11 100
85 65 41 90
82 59 38 88
10 59 35 26
55 12 23 87
18 62 89 60
37 96 69 98
16 49 92 13
30 96 19 89
73 88 44 96
95 60 16 26
89 68 18 57
33 87 47 23
85 30 96 38
83 56 91 43
65 88 97 12
12 26 73 79
83 50 85 84
60 81 79 27
40 73 84 63
45 83 32 34
95 54 81 20
