20 250 4
1 1 1 1
102 149 208 250
27691 20960 14980 9707
23 20 54 32
47 44 21 27
33 76 57 82
59 61 35 81
27 17 28 80
81 45 58 13
36 74 32 94
40 64 87 73
72 54 21 27
83 57 53 80
69 87 31 58
57 22 22 66
96 24 62 93
70 26 95 64
39 82 95 92
19 67 45 27
26 28 51 78
53 43 36 55
90 88 59 78
80 74 32 32
37 21 17 14
94 23 63 48
23 36 87 25
69 83 30 39
68 62 50 41
77 55 92 86
37 36 17 56
32 12 76 87
68 90 77 55
95 86 91 80
14 85 10 97
49 47 98 55
61 73 15 22
16 29 61 85
33 66 53 66
38 47 63 55
77 90 31 64
36 12 22 44
52 41 15 14
14 85 51 89
98 99 82 63
82 17 24 59
78 47 16 10
69 46 83 35
87 44 27 16
61 83 65 68
32 95 86 62
65 66 24 72
34 95 92 88
64 43 47 74
98 84 46 22
72 16 47 14
97 80 22 92
68 89 79 51
39 50 95 35
23 70 30 64
80 98 14 54
30 93 17 76
80 83 76 69
59 53 19 74
25 38 41 27
24 16 73 27
90 33 56 47
17 80 89 11
51 85 65 26
24 58 40 31
86 31 90 88
54 37 28 83
16 89 80 76
85 65 62 32
62 65 13 65
24 13 28 56
29 61 30 73
59 10 56 40
94 96 67 51
10 24 44 27
26 47 97 31
69 44 23 88
65 31 89 43
90 92 74 96
67 29 71 72
48 73 79 98
66 43 24 71
75 74 63 92
51 57 88 87
64 63 41 49
55 89 82 79
13 12 51 35
82 28 76 43
30 31 10 14
63 38 31 83
75 15 25 37
51 31 80 75
45 84 61 43
94 22 86 85
65 39 23 76
27 27 75 80
67 71 77 38
59 58 67 15
51 32 79 75
92 77 26 60
60 55 98 31
70 40 57 90
98 95 69 95
42 92 85 86
83 56 49 37
16 23 46 25
35 81 87 12
76 28 83 87
10 15 57 71
83 20 91 10
35 97 79 52
25 97 54 25
27 73 99 41
43 45 33 72
80 63 73 73
50 72 32 88
96 27 45 81
85 63 64 64
44 75 53 78
60 35 47 67
99 60 61 46
81 68 37 97
57 44 98 27
66 18 66 60
44 47 53 99
80 90 14 24
68 83 87 38
64 56 39 98
98 58 81 50
21 32 96 76
20 80 13 60
41 24 33 44
49 29 20 68
28 19 100 71
23 95 55 11
94 16 13 86
63 30 98 26
81 83 13 23
42 73 43 86
37 32 32 96
41 11 55 45
71 50 51 97
100 14 13 90
73 27 41 23
90 44 75 23
97 23 75 56
42 97 10 30
83 42 34 67
49 87 69 31
40 71 10 12
89 59 12 71
39 30 89 95
24 14 80 39
47 68 79 18
63 88 37 48
20 100 13 85
83 82 28 54
87 48 26 80
88 87 31 89
14 89 100 55
65 67 62 66
71 99 40 20
87 37 22 24
60 27 65 28
91 72 10 70
100 11 25 90
63 56 31 41
80 33 32 24
59 33 33 45
54 90 54 49
29 29 30 37
100 29 93 50
74 16 22 67
94 95 54 16
48 78 79 80
40 50 98 48
86 59 43 97
51 59 59 91
33 61 66 27
66 69 35 62
58 25 83 27
76 18 88 70
11 77 67 90
37 39 53 35
96 67 95 93
70 28 30 75
63 99 28 94
26 11 34 46
11 19 30 51
85 27 61 25
35 12 20 21
25 20 34 55
26 88 98 87
26 100 77 61
95 78 94 27
27 29 97 18
58 95 98 14
73 47 41 34
99 16 94 100
19 37 47 40
92 18 84 61
17 74 92 16
64 99 75 18
37 16 19 92
17 20 68 14
57 80 71 100
18 88 16 66
93 97 84 77
37 82 46 60
88 21 70 35
68 48 41 66
72 44 25 57
16 71 37 43
72 74 30 66
46 82 75 35
42 23 23 87
41 18 97 62
38 34 68 96
23 75 38 39
24 27 89 24
21 14 27 52
21 65 20 80
30 38 24 73
59 82 67 17
32 69 46 64
73 45 38 17
20 67 28 23
68 64 40 24
53 77 63 86
90 96 78 25
35 14 87 49
53 24 76 53
82 12 73 34
49 83 20 23
50 19 91 88
28 35 79 15
57 62 98 44
97 53 26 58
28 35 34 28
31 82 73 22
94 90 81 24
47 44 52 46
18 28 62 97
23 29 76 64
30 82 12 23
64 22 64 36
37 73 80 28
71 85 68 51
76 18 22 60
26588 20398 14670 9424
72 47 17 83
41 63 14 19
34 98 55 32
27 82 98 12
56 92 47 56
15 30 41 38
85 20 46 83
85 47 40 37
60 10 45 96
55 11 91 37
97 86 94 49
23 53 62 38
69 78 12 87
55 77 53 18
26 89 37 10
69 49 98 81
87 64 32 98
37 78 54 47
36 24 20 28
22 64 58 20
95 62 11 69
66 50 84 80
57 54 36 80
11 10 18 79
50 45 12 24
62 92 60 33
86 84 92 36
44 17 20 19
94 34 14 66
41 88 18 37
78 32 14 19
43 97 15 57
25 14 87 90
74 77 43 56
50 23 21 91
89 90 75 70
40 70 40 35
36 70 49 12
63 13 80 63
27 92 100 94
11 34 12 56
14 85 15 21
65 17 62 57
42 90 72 66
11 81 81 46
45 67 93 82
29 93 30 100
37 45 89 74
12 94 63 60
94 86 42 79
52 15 24 43
41 29 94 38
97 12 73 37
14 46 61 42
66 28 65 57
52 42 60 18
57 89 56 87
76 92 23 67
19 55 76 34
84 51 98 31
29 72 77 78
52 17 60 10
61 79 16 71
29 71 15 92
75 87 55 25
22 81 54 49
23 89 69 47
92 91 17 36
60 61 33 77
63 83 11 70
58 76 82 42
56 25 62 12
97 15 72 61
49 43 20 69
10 28 39 84
95 43 59 59
57 67 57 54
40 29 87 50
71 16 77 20
32 38 30 56
43 75 56 24
99 21 95 99
37 32 91 56
77 71 34 49
56 90 24 100
54 21 48 91
52 66 73 29
22 15 64 83
35 97 49 43
81 64 74 44
51 63 25 63
15 14 91 67
34 29 78 100
77 16 49 97
82 43 86 76
25 57 45 69
35 70 53 75
20 50 27 84
11 49 49 93
23 61 52 73
22 56 77 91
66 33 11 55
25 98 30 55
46 77 74 27
67 77 63 69
35 41 69 23
95 91 61 20
66 72 27 27
22 20 71 10
81 47 86 66
43 100 21 53
17 95 69 11
37 95 49 91
39 12 86 18
57 24 71 17
14 95 35 95
13 88 42 12
45 48 22 31
24 92 71 56
81 52 81 34
24 71 42 21
62 88 98 16
49 80 47 67
59 83 79 44
61 19 66 79
57 43 31 29
57 63 76 74
70 80 78 58
90 86 23 20
30 56 25 94
14 92 45 13
13 39 52 74
84 39 18 48
89 57 91 27
22 75 93 21
37 11 95 26
95 11 29 53
28 34 81 91
31 80 49 89
22 50 40 48
41 90 100 64
82 94 10 94
28 66 22 63
34 11 36 41
68 26 14 20
20 39 15 81
97 96 94 35
41 55 44 68
24 61 51 88
73 77 91 36
44 23 68 19
43 90 83 13
96 54 55 89
52 71 86 80
39 88 21 73
99 77 15 22
67 62 39 16
79 57 60 34
40 64 92 61
12 94 65 29
98 64 16 53
84 20 78 73
85 19 10 51
40 52 71 81
41 86 99 100
79 10 42 92
65 50 17 10
12 95 99 88
23 85 78 99
68 17 20 59
72 65 47 100
41 75 100 28
43 55 51 47
32 21 68 15
68 17 16 53
62 87 21 48
20 12 90 19
89 54 83 13
81 42 29 32
51 63 60 56
14 69 57 26
42 51 70 34
28 95 82 95
37 44 64 37
44 98 77 18
65 65 60 56
45 36 59 49
34 63 66 75
87 73 45 58
36 94 88 51
94 76 97 48
11 64 85 77
11 33 99 89
77 20 92 74
76 61 96 89
80 65 51 24
70 99 38 43
96 45 16 12
71 31 24 92
61 55 73 52
80 82 41 78
32 24 97 60
39 91 13 49
86 60 41 97
42 65 100 31
67 16 70 72
91 31 96 78
91 28 97 48
68 76 79 67
75 91 98 76
61 97 10 42
40 54 35 87
37 23 49 88
13 94 25 31
20 34 99 83
50 10 39 37
34 75 66 62
90 52 96 39
84 52 35 66
49 49 27 69
56 16 85 18
96 88 74 50
