20 100 4
1 1 1 1
39 57 74 100
13327 11874 8597 6825
75 43 22 70
72 31 26 67
70 74 88 39
21 28 63 67
43 53 32 92
73 82 56 96
82 84 10 53
37 53 75 13
54 46 27 100
33 67 61 22
73 30 55 32
67 30 91 77
46 74 53 71
93 62 18 20
44 59 75 81
98 92 11 56
45 20 37 20
65 49 20 44
100 74 94 21
94 16 76 58
88 88 16 52
64 67 85 34
62 23 73 32
82 34 20 93
34 84 38 46
54 84 61 34
49 21 36 39
83 21 31 98
94 67 82 34
38 85 49 33
14 24 36 23
31 99 26 38
33 59 65 78
12 76 87 83
21 31 91 46
48 50 28 27
94 33 61 85
23 37 82 26
39 58 55 11
77 43 60 95
13 98 68 18
40 93 74 48
87 18 11 61
10 61 65 79
100 21 17 75
24 84 54 51
34 78 86 23
29 81 50 98
21 43 54 97
37 34 44 84
35 40 88 85
40 10 66 61
64 15 58 75
50 34 83 42
78 54 60 52
71 64 73 21
59 29 21 52
37 36 90 20
46 32 13 78
58 55 92 41
76 67 81 76
22 100 27 48
53 65 12 39
44 34 65 50
39 89 15 39
61 81 79 57
44 19 87 23
28 22 62 90
97 65 34 39
15 50 65 100
38 83 36 72
59 46 32 42
29 89 74 64
97 90 32 68
59 39 83 30
12 65 71 70
30 56 96 83
74 21 91 30
71 13 78 89
88 94 74 28
61 28 15 90
67 48 66 88
42 20 15 17
21 61 77 97
16 23 20 14
70 83 70 56
47 44 84 16
63 75 82 81
90 29 30 28
12 85 44 38
10 56 82 59
46 16 18 63
25 11 78 88
25 43 18 11
44 26 53 11
94 48 25 68
79 87 42 41
13 11 28 97
47 51 30 82
66 83 50 37
13683 10764 8339 6162
34 64 95 93
42 63 57 91
86 52 44 96
24 49 47 100
68 10 47 36
85 98 31 64
23 85 41 94
31 80 100 27
57 67 45 32
55 80 89 16
15 50 14 91
75 23 47 100
54 21 89 68
95 65 34 15
67 40 98 27
20 89 57 52
56 33 18 72
89 14 20 41
16 34 45 26
91 18 83 46
12 48 100 59
12 54 76 25
48 86 31 30
28 78 79 42
66 28 84 13
42 86 13 75
78 40 76 99
66 80 89 98
34 86 43 78
44 83 25 34
87 94 14 78
14 29 11 50
24 56 37 44
71 71 97 59
24 13 23 43
86 11 72 53
15 59 78 19
79 33 12 18
19 41 57 17
67 85 69 100
82 18 14 75
15 45 59 46
43 93 65 46
73 69 45 57
27 72 17 39
87 100 65 68
35 28 47 63
40 77 52 47
98 60 78 97
54 81 99 37
13 24 63 34
40 98 37 12
55 40 52 36
63 70 47 87
76 36 70 59
30 11 43 57
80 28 94 32
80 64 72 82
51 59 90 85
99 63 12 62
87 60 69 42
62 20 82 74
78 76 33 33
80 16 85 65
71 85 22 81
97 77 92 54
74 36 99 13
31 75 68 11
89 96 48 44
31 74 75 78
72 61 46 72
51 59 46 41
58 44 11 33
74 19 12 61
84 58 96 71
41 14 82 62
69 85 18 61
11 87 31 46
32 59 59 76
86 83 25 45
38 91 71 20
22 60 30 89
61 70 96 65
23 41 46 60
74 65 63 24
92 74 72 23
14 91 60 100
100 20 84 76
75 20 82 90
86 78 73 94
12 73 49 79
16 37 63 84
82 68 94 59
51 66 70 23
27 74 38 37
47 29 91 84
32 17 28 11
86 32 25 76
27 78 53 89
59 20 72 29
13292 10248 8073 6868
73 35 36 27
49 76 65 95
17 70 69 28
31 85 39 16
46 27 24 16
51 100 54 92
59 55 57 43
91 85 89 30
17 62 59 66
81 66 32 33
11 25 65 27
98 93 62 21
73 68 72 89
66 47 100 19
67 50 73 39
60 42 40 98
71 49 46 15
48 30 90 40
90 87 33 40
24 100 77 75
53 49 51 25
80 61 83 21
20 29 44 23
62 86 20 61
37 65 53 31
69 83 44 13
93 20 14 75
48 50 47 91
51 66 45 95
31 46 92 71
70 55 46 88
12 84 68 26
55 42 39 86
55 53 80 65
59 40 76 51
99 91 20 26
79 72 25 16
87 99 66 71
33 20 35 95
19 51 99 43
15 34 61 99
76 86 71 64
33 29 84 22
85 63 11 95
18 48 44 84
53 48 18 25
71 87 32 71
83 37 60 90
56 17 97 85
21 98 72 72
78 81 10 91
93 44 18 25
62 97 86 64
14 78 64 68
86 69 69 34
43 51 63 66
32 35 28 16
73 27 66 62
25 84 22 85
83 28 96 42
14 26 42 74
60 42 31 17
87 60 10 72
97 85 34 45
40 63 85 83
87 75 26 16
41 30 77 86
80 45 33 66
95 29 81 10
30 25 100 72
69 36 43 92
55 55 80 50
56 67 67 12
13 12 96 13
37 83 17 74
32 25 42 84
84 37 68 85
86 79 85 31
75 85 14 96
79 40 70 40
97 25 100 25
73 67 90 33
30 74 45 57
88 83 24 79
88 76 94 13
41 50 93 30
37 89 70 93
61 15 100 55
46 16 59 83
37 31 46 81
30 80 79 95
98 41 76 75
72 62 92 55
92 76 68 76
99 70 12 23
69 90 25 56
31 31 60 35
26 45 29 59
25 48 49 72
