30 250 4
1 1 1 1
75 157 206 250
26621 20628 14842 10934
23 25 86 93
30 76 95 63
81 40 35 84
64 85 21 95
82 81 55 29
26 18 17 55
87 20 100 55
81 58 73 45
85 68 25 78
86 57 74 15
16 48 28 14
52 26 43 85
74 65 42 52
59 32 73 67
99 35 96 41
20 76 52 13
45 41 26 56
97 76 51 26
53 15 83 96
40 84 31 47
12 17 63 18
61 88 85 55
74 91 95 75
11 62 53 18
67 75 17 31
10 50 72 34
15 74 64 97
90 44 86 72
27 36 35 62
87 72 74 47
99 50 43 45
29 41 22 49
33 24 66 76
31 66 21 58
89 45 72 74
85 40 42 27
95 54 87 68
56 39 51 56
95 76 99 17
64 10 45 99
80 60 97 63
81 45 20 81
61 63 12 87
31 31 88 74
20 46 83 21
60 61 18 83
73 45 43 55
44 95 42 25
91 12 85 89
21 18 48 20
33 22 52 25
62 69 76 93
28 85 27 18
17 39 89 13
70 87 21 84
40 51 39 51
42 81 40 64
42 49 73 96
54 97 85 58
76 43 84 16
97 36 78 50
18 41 48 41
63 41 17 18
35 48 53 17
74 57 34 85
72 79 51 57
16 43 14 70
36 89 13 65
82 37 54 34
70 23 12 49
35 97 64 25
34 84 68 40
100 71 72 15
62 77 23 71
19 57 81 71
58 65 39 17
21 47 91 23
68 24 20 35
46 99 28 78
46 50 36 67
55 34 60 53
61 13 71 74
31 20 56 74
49 31 92 91
64 28 69 27
100 42 84 71
77 96 92 49
13 66 74 68
53 46 77 33
87 89 33 98
90 11 82 54
98 93 63 27
46 21 67 17
82 82 84 91
14 50 28 55
85 88 10 85
27 59 59 72
44 73 43 49
60 63 32 24
83 77 39 21
72 80 84 81
26 79 90 53
70 49 42 71
95 51 51 76
67 12 17 45
75 14 33 55
35 32 75 21
43 40 59 65
24 30 30 41
10 100 97 97
75 81 14 45
24 52 88 32
19 18 98 89
65 95 29 61
78 36 52 19
13 11 73 59
17 28 35 97
64 28 91 60
87 41 16 98
84 35 45 15
49 46 91 60
91 97 89 10
52 14 56 86
33 40 39 42
80 86 67 87
36 60 77 28
76 95 36 95
71 10 94 16
30 64 49 26
26 40 53 67
28 49 75 25
11 88 98 100
41 88 21 20
33 61 47 18
56 98 27 15
56 15 57 30
39 39 24 35
36 68 42 69
36 28 23 15
23 86 55 42
98 92 81 29
72 60 32 28
50 48 92 56
63 86 73 59
31 44 66 52
55 56 45 27
80 50 36 58
99 80 61 26
