30 250 4
1 1 13 2
65 136 177 250
24655 20094 15393 9423
62 37 23 22
94 70 54 32
85 72 87 18
83 93 77 66
12 25 26 19
72 54 69 82
53 24 19 11
39 88 17 38
89 84 27 39
60 81 29 21
89 64 42 43
78 83 35 38
58 60 62 18
48 42 20 74
22 63 36 24
48 53 56 45
56 53 96 30
29 50 59 58
71 32 44 95
47 57 40 19
96 93 41 45
84 90 10 57
20 40 43 65
42 23 36 43
64 29 20 39
22 88 93 17
47 16 16 13
50 13 45 36
51 61 54 58
55 94 86 24
88 91 74 69
18 13 97 32
21 84 86 62
18 90 81 32
21 47 75 26
67 100 37 24
43 20 79 77
71 35 89 34
94 28 13 22
73 84 32 64
82 94 72 66
46 13 87 89
52 35 58 87
94 49 57 92
66 32 69 51
57 97 48 52
44 47 98 12
15 56 17 11
26 64 53 45
97 69 30 16
31 39 38 13
39 58 54 65
47 27 77 45
60 43 49 28
38 10 27 30
75 32 64 16
32 87 97 69
31 67 23 34
12 22 94 42
55 10 20 32
80 14 44 85
57 34 10 83
65 65 13 83
48 45 69 68
51 87 57 50
97 75 11 36
70 35 86 43
27 78 90 40
91 98 99 92
13 67 45 57
96 98 43 35
56 44 94 30
32 35 60 79
27 99 67 56
17 84 21 21
38 38 96 79
61 30 79 12
42 39 24 83
88 80 80 23
95 22 62 88
63 29 81 89
84 54 71 61
49 66 74 75
11 24 73 93
46 62 74 41
86 21 21 79
61 37 61 15
18 53 87 81
46 62 82 73
95 67 98 60
50 37 40 53
28 52 37 96
38 52 56 13
34 81 97 14
73 93 91 70
32 54 69 24
35 11 99 38
43 27 17 21
63 64 90 29
30 66 42 100
23 68 23 10
81 90 82 30
41 87 10 19
54 55 85 53
99 11 46 29
71 47 44 96
55 100 49 10
90 56 21 27
17 100 78 100
37 97 48 45
20 46 44 51
64 88 91 86
73 54 21 28
63 91 50 34
63 72 99 49
15 86 65 90
17 30 38 71
36 17 95 98
63 47 81 73
53 62 71 39
83 92 27 74
20 98 69 94
28 22 34 42
15 75 36 62
82 85 91 44
77 77 54 63
85 25 49 10
43 99 91 99
72 40 46 45
87 50 75 56
52 35 51 98
13 78 71 46
61 42 89 55
80 26 62 74
20 93 92 53
13 92 49 91
75 37 22 39
15 77 74 87
87 55 57 88
17 88 41 76
90 32 85 40
54 29 47 90
36 91 33 36
63 68 95 22
65 65 56 51
71 65 92 50
71 44 57 29
47 81 61 13
89 14 14 43
60 49 31 54
47 66 15 34
65 90 39 62
51 30 23 16
89 96 52 37
82 73 79 12
25 91 50 31
25 45 68 38
42 49 80 60
43 17 13 66
50 13 78 41
24 46 55 43
12 68 39 88
95 73 81 90
13 49 31 10
60 25 52 63
62 87 19 80
65 93 82 67
89 100 39 94
78 90 52 47
79 59 77 90
16 81 84 61
93 93 10 66
42 87 28 46
98 47 76 57
