20 100 4
1 1 1 1
39 66 82 100
12977 10881 8812 7010
46 60 37 69
46 75 87 51
31 15 23 49
70 48 69 56
24 20 41 95
60 95 85 46
45 90 17 99
92 99 45 22
45 46 46 14
83 47 43 55
45 24 94 10
92 91 81 11
88 49 42 42
44 88 58 27
94 40 85 51
35 63 44 10
86 64 55 52
77 94 80 52
58 28 99 79
16 13 98 35
49 94 83 97
90 73 97 30
58 83 72 16
58 68 69 86
72 22 23 68
26 54 86 53
47 59 28 69
66 31 65 34
43 58 17 29
45 72 42 32
64 75 86 97
95 75 26 73
54 64 45 30
29 55 85 51
38 91 56 96
34 39 45 31
57 47 54 59
99 28 10 20
90 48 93 92
79 53 74 89
82 48 73 70
13 28 33 25
26 38 22 87
90 75 47 32
11 22 86 100
84 99 45 64
64 96 65 90
73 83 32 88
99 11 58 11
45 24 64 32
49 28 32 27
97 23 91 63
13 92 53 92
36 37 37 76
90 42 81 46
99 92 73 65
60 44 32 90
58 13 90 59
12 49 66 40
13 29 50 56
30 40 81 46
17 76 17 42
89 50 63 41
78 12 82 20
84 37 56 79
69 93 10 46
100 47 73 16
45 21 36 90
40 49 74 31
37 51 19 91
63 46 41 11
82 91 56 80
26 14 45 52
69 19 35 18
20 36 51 70
85 63 94 96
37 70 96 14
19 82 38 99
17 59 14 46
26 35 97 10
96 74 92 73
24 57 28 95
13 30 27 55
94 20 63 10
12 28 21 18
60 62 81 54
69 54 15 34
87 36 34 26
60 94 26 21
64 12 37 73
64 100 46 12
99 97 40 78
11 63 68 56
96 81 49 98
82 66 29 30
88 55 99 67
43 59 35 63
35 14 36 37
22 64 73 18
83 83 62 10
14013 11043 9033 6384
54 19 51 70
20 13 31 100
55 63 20 98
94 50 25 42
93 66 61 40
72 92 59 92
92 10 99 99
48 24 82 60
47 45 84 47
42 21 38 72
93 57 34 62
25 63 48 26
21 23 21 85
59 84 16 42
84 90 19 67
94 56 84 34
57 50 75 49
53 97 99 96
80 67 17 13
68 95 20 92
10 32 42 46
63 56 53 19
10 58 86 10
34 100 80 74
45 64 37 16
58 38 79 30
51 44 68 10
78 19 15 92
68 62 62 25
53 64 70 82
91 87 13 84
23 66 10 92
40 28 28 37
64 62 40 48
25 34 39 34
82 19 13 99
24 64 68 50
93 25 49 77
80 95 17 11
98 45 20 93
67 33 71 64
89 97 73 46
95 79 60 37
55 76 22 23
88 85 41 52
69 14 82 66
39 63 72 22
46 78 56 99
71 29 20 47
61 31 23 21
83 62 91 72
68 14 96 20
70 99 46 51
41 28 13 74
12 62 46 95
17 32 18 49
51 47 52 28
13 92 95 58
74 41 47 57
43 63 92 17
19 31 31 33
27 37 27 36
80 43 82 18
99 14 50 16
91 78 56 46
90 71 27 74
83 27 71 67
30 71 35 96
82 96 35 22
80 92 44 26
97 75 60 66
60 72 38 90
39 48 39 23
80 12 50 87
43 25 63 48
21 65 71 62
78 46 30 10
10 13 21 76
85 65 52 74
55 22 41 94
47 38 18 39
46 90 100 45
52 96 41 74
20 63 87 51
61 27 34 17
34 92 29 32
59 100 12 55
64 83 85 16
38 57 92 94
91 27 54 32
20 48 98 63
32 37 13 66
84 72 67 70
25 61 72 22
91 90 10 32
89 85 95 20
33 70 53 29
24 20 80 81
33 42 31 83
72 51 24 32
14001 11266 8814 6147
90 66 43 93
68 76 50 46
22 26 67 57
68 75 86 99
32 68 22 70
18 43 57 96
27 98 90 58
72 80 91 45
98 56 94 18
96 86 21 16
14 17 35 44
93 20 45 47
65 94 51 62
13 76 17 60
75 34 14 29
67 60 46 81
23 34 59 71
84 77 75 83
88 81 76 32
78 64 62 63
20 67 17 87
55 37 13 98
17 55 76 58
11 64 72 33
90 97 95 54
44 90 59 48
37 51 14 61
98 29 34 18
73 27 93 11
57 75 73 75
25 14 10 68
61 18 19 36
60 89 10 23
92 78 96 99
55 91 88 74
76 77 94 77
74 77 40 56
71 24 84 46
79 38 47 96
80 13 17 100
68 52 75 85
66 69 82 34
91 77 28 28
56 88 25 35
90 22 23 31
43 46 55 75
88 45 45 81
17 58 15 99
23 74 63 15
72 71 38 22
53 63 68 88
21 40 60 24
39 59 60 19
58 12 64 53
38 61 92 33
43 17 75 27
86 91 48 48
92 89 52 36
17 86 43 77
70 14 57 45
35 29 29 11
64 73 97 64
15 98 52 64
68 82 53 53
56 26 22 50
52 16 72 62
30 65 98 33
75 52 27 27
24 30 36 44
10 84 12 79
50 10 100 48
39 73 97 58
31 12 96 61
67 70 83 70
87 55 56 74
45 66 57 51
59 41 48 77
49 83 79 69
68 20 46 59
13 66 90 48
98 88 81 75
77 59 78 43
25 64 25 98
27 79 14 17
88 32 82 60
41 84 27 97
10 19 95 19
14 32 79 26
51 59 50 71
46 56 78 73
58 50 25 72
67 56 29 98
36 61 37 25
37 29 13 84
71 51 24 96
74 91 92 49
96 87 36 100
89 44 62 60
47 56 20 75
84 51 21 92
13392 11185 8708 7196
29 96 74 82
59 15 40 32
53 83 59 49
45 44 87 35
44 26 58 83
78 93 46 49
39 36 25 69
91 98 57 20
66 70 90 42
60 52 44 55
87 96 22 92
85 49 99 45
41 72 23 98
62 70 44 95
100 12 86 83
53 94 23 53
59 57 79 68
28 72 55 41
93 19 20 47
92 52 32 99
78 55 24 76
38 60 47 96
71 74 48 29
100 63 34 13
74 25 51 78
71 93 33 82
48 63 68 44
15 79 79 27
75 29 47 12
28 14 85 40
10 80 99 49
51 66 55 14
69 23 78 21
26 85 86 57
83 43 17 59
33 40 65 95
13 58 71 89
97 85 51 92
98 29 61 52
99 38 98 41
90 94 64 43
81 70 61 16
61 100 84 43
21 82 16 19
52 87 92 90
70 47 89 67
27 56 21 61
43 51 29 45
66 72 85 33
50 54 61 86
84 95 12 62
85 94 42 58
30 51 13 85
46 77 84 59
77 10 61 83
17 94 30 100
61 14 84 72
14 31 55 84
35 96 67 15
84 35 22 94
38 11 84 26
67 24 92 57
71 21 68 29
35 36 75 44
47 12 100 91
88 45 12 10
87 77 86 54
29 94 34 22
100 53 72 56
52 87 74 81
52 83 41 36
95 68 69 76
64 90 37 61
35 62 89 19
94 45 24 18
36 33 49 25
10 63 48 11
99 53 37 99
83 80 76 46
30 32 77 13
84 83 43 27
11 24 60 88
35 66 67 30
20 44 53 89
20 91 28 95
22 98 76 53
48 67 89 67
27 76 75 52
11 83 27 75
27 44 43 94
63 64 77 57
31 62 37 84
99 87 25 29
40 16 12 96
63 80 34 33
56 84 32 29
27 24 32 41
95 14 48 86
52 42 32 18
98 21 52 43
13577 10722 9368 6563
65 28 37 89
64 95 84 25
64 52 76 82
75 64 91 55
91 12 98 35
26 37 43 66
67 46 63 26
21 44 41 95
76 79 50 27
43 98 96 51
76 99 40 59
93 83 11 24
29 37 90 39
45 84 28 41
73 49 79 72
80 59 49 60
72 47 36 35
41 92 61 42
54 85 26 48
40 75 31 42
27 46 46 83
82 48 88 58
52 29 77 14
40 79 59 97
12 63 77 57
32 16 84 30
48 58 82 81
38 86 18 33
12 76 95 75
59 79 30 37
69 59 100 25
23 54 22 57
13 66 95 58
67 26 95 25
97 58 64 80
91 69 73 73
43 38 87 34
63 26 32 35
71 29 81 17
63 33 35 16
40 98 20 80
77 41 35 15
63 60 63 45
73 32 38 24
71 18 61 72
98 84 65 22
29 60 72 38
48 70 78 60
66 65 43 14
26 42 22 68
30 59 62 98
25 33 11 72
20 13 25 60
11 98 64 54
20 100 47 100
48 90 95 28
18 90 44 31
70 91 46 27
34 44 72 56
61 67 76 23
100 15 79 85
83 94 73 71
52 39 63 38
16 79 14 40
62 26 93 76
24 74 49 97
21 93 32 42
28 15 65 42
47 97 46 94
20 66 48 51
11 13 72 46
92 50 89 33
66 74 87 98
66 58 11 56
43 13 75 48
79 81 68 36
52 53 16 13
58 63 38 86
34 61 11 41
28 28 75 50
99 23 31 33
26 83 26 77
100 53 93 79
59 20 46 90
80 73 55 100
62 74 18 12
71 67 17 13
47 62 39 78
54 18 28 85
59 38 90 29
81 40 39 64
83 18 40 11
68 69 71 28
90 55 32 88
75 58 84 58
82 31 47 13
15 52 75 14
99 43 87 45
28 35 17 77
77 62 56 64
12997 9796 7871 6569
35 79 86 42
68 86 94 91
67 83 79 42
97 78 94 48
62 51 91 47
33 85 26 82
23 42 83 93
36 95 72 53
76 96 99 63
65 51 62 84
68 36 21 75
43 14 92 88
98 37 59 81
32 68 100 87
17 55 20 28
54 26 67 76
20 62 40 88
81 15 55 84
98 76 71 13
43 67 19 51
50 72 85 57
98 12 42 11
92 97 70 72
28 70 52 66
34 61 68 12
40 61 59 94
88 45 50 35
56 71 47 98
15 17 22 56
48 82 42 51
96 69 41 17
21 36 58 91
13 68 66 97
26 63 39 74
42 60 84 33
66 37 44 67
50 12 18 98
59 45 54 66
29 99 32 78
59 34 74 92
73 31 56 24
92 16 65 67
97 28 15 16
72 19 97 64
55 17 34 25
18 19 71 46
37 36 24 48
55 64 74 40
93 47 62 50
73 48 71 93
22 52 23 72
29 42 26 33
86 44 12 45
91 34 65 79
50 63 58 10
89 91 100 42
82 76 57 66
11 89 70 54
18 59 67 79
92 79 39 61
28 36 68 61
65 52 44 48
49 68 83 49
36 32 34 96
28 54 66 27
10 47 55 45
70 88 28 44
46 14 17 67
17 60 59 21
36 77 59 28
28 70 64 87
72 27 86 82
36 33 35 10
38 75 90 21
14 44 67 50
80 93 50 49
39 30 47 27
43 95 11 53
76 81 56 81
80 76 40 56
27 42 17 54
32 32 56 17
96 27 30 63
95 39 30 56
93 95 50 24
81 57 18 90
26 94 69 98
81 55 73 37
89 63 82 30
74 54 62 22
18 21 38 81
65 91 78 30
39 39 42 64
96 57 66 61
31 41 60 90
48 52 47 42
36 42 65 11
89 74 64 23
32 78 30 90
54 96 56 79
13258 10554 9089 6327
43 80 35 66
19 90 50 67
25 31 40 18
54 58 85 32
24 95 78 89
78 27 99 62
90 22 17 85
81 48 72 41
88 27 17 40
85 88 81 54
56 71 90 71
40 95 64 99
72 59 57 74
80 74 91 60
50 23 39 81
98 14 57 20
13 33 94 98
78 28 61 11
58 91 53 24
98 48 87 75
73 18 77 83
24 75 60 30
89 31 90 27
94 58 72 70
73 53 99 97
82 47 69 14
55 76 53 76
77 67 86 89
50 42 75 98
49 18 98 28
60 56 24 52
13 27 80 62
59 10 61 81
37 50 58 99
13 89 87 92
72 63 93 61
36 21 81 63
49 47 18 100
93 15 71 94
41 64 21 67
46 75 66 35
50 75 56 15
92 65 83 24
48 100 45 13
20 27 99 16
67 72 49 83
75 19 32 93
95 18 63 65
23 97 22 36
86 81 75 90
62 21 43 48
58 26 52 86
74 29 38 22
36 79 77 89
44 66 93 73
97 66 82 73
36 56 74 96
85 64 15 29
49 23 25 21
44 81 79 40
51 47 37 47
11 40 92 30
90 39 64 57
68 95 15 78
72 32 91 95
85 100 79 30
85 91 21 63
30 40 21 71
33 57 88 39
39 39 47 56
28 73 75 91
49 96 87 21
51 91 82 74
29 100 55 96
15 92 78 22
89 100 89 20
13 36 26 53
49 99 75 26
89 73 17 71
28 47 33 22
51 37 11 29
64 96 84 23
83 19 94 83
94 59 64 86
76 70 69 52
54 83 88 87
44 93 80 46
50 66 29 92
43 26 78 22
40 96 51 97
56 25 49 45
72 20 74 66
26 89 94 53
83 93 75 44
51 83 79 20
47 27 90 68
18 80 12 24
39 29 80 74
10 94 66 14
58 15 12 70
13462 11685 9406 6212
34 70 63 19
15 51 92 89
49 87 20 50
33 83 64 67
92 21 68 18
29 33 87 32
91 64 89 99
73 26 60 88
94 26 41 95
67 14 77 10
30 76 86 28
33 70 55 94
41 89 32 91
61 16 69 65
26 11 80 54
56 47 11 25
91 15 69 85
85 47 90 11
59 49 76 23
55 90 80 71
80 50 33 25
73 59 77 30
95 65 21 13
40 96 44 81
39 64 47 30
31 57 99 77
60 29 29 40
38 35 19 39
87 45 82 25
23 31 25 23
62 57 96 38
69 78 58 95
48 19 20 65
21 62 73 61
51 15 51 97
23 69 84 27
99 80 91 58
69 36 22 68
34 91 51 36
34 54 57 55
92 59 90 70
84 71 53 70
49 70 39 52
63 52 96 32
54 53 55 92
38 94 50 18
33 31 24 75
92 23 98 39
61 31 17 97
92 77 81 49
60 34 90 39
90 95 96 40
50 12 35 32
23 66 96 62
84 17 18 76
86 76 26 36
32 77 29 55
56 55 75 59
39 82 77 87
38 14 40 56
84 47 59 38
96 93 15 59
19 62 20 82
35 65 38 43
85 55 73 38
49 10 61 73
56 43 58 25
25 92 57 65
80 51 46 76
34 59 35 35
40 85 29 54
83 94 20 28
35 20 71 74
48 23 82 75
53 91 92 51
73 65 59 29
26 95 47 14
22 88 39 42
27 37 76 40
72 10 33 66
21 64 45 38
16 32 74 23
13 33 63 13
100 40 12 87
51 33 93 92
61 73 84 94
38 24 65 52
34 69 12 21
30 39 87 78
99 52 82 87
70 58 99 29
74 37 63 36
59 38 63 64
65 67 63 14
100 47 42 63
81 28 17 37
87 89 69 44
19 90 63 59
17 15 53 23
30 78 77 34
12902 10676 9152 7103
93 17 79 16
29 36 74 31
26 96 14 24
65 16 86 54
88 67 16 57
31 21 100 78
15 72 93 26
90 64 100 67
19 43 14 80
25 10 99 41
68 14 15 75
93 64 90 64
52 28 96 73
58 49 24 29
57 32 84 71
56 20 70 25
86 100 68 89
59 61 56 34
54 12 80 63
38 54 58 100
33 26 91 24
29 83 98 57
14 74 34 64
38 20 59 99
84 37 81 28
22 95 65 15
66 77 72 35
12 15 76 29
78 52 50 60
65 72 42 94
66 77 93 10
36 54 27 62
49 62 22 53
17 52 32 30
49 89 48 45
64 50 55 71
12 98 61 69
86 67 86 94
48 64 81 15
31 22 43 81
72 64 49 91
64 36 75 59
31 52 49 58
17 30 34 18
38 26 43 86
27 67 61 55
75 12 90 83
83 14 84 75
94 67 22 88
52 62 24 45
48 52 19 39
47 43 76 27
89 47 75 51
20 55 42 66
22 84 42 94
36 10 24 13
58 86 80 89
27 20 66 75
56 87 53 49
12 49 55 18
12 98 80 28
47 24 44 33
19 11 55 58
50 96 86 48
37 27 46 76
78 16 35 13
73 89 48 34
61 27 34 82
98 90 91 29
72 79 18 36
51 35 12 65
48 17 50 85
22 77 32 33
26 19 35 54
99 40 70 78
40 83 83 52
99 94 91 12
25 57 17 18
53 49 33 30
65 99 22 88
23 43 56 89
88 69 13 11
93 48 52 60
27 73 75 21
34 26 87 17
10 91 86 65
32 64 91 14
78 14 42 54
25 48 48 83
55 66 83 28
56 63 83 95
17 73 11 77
57 13 61 19
89 52 62 93
14 87 79 70
16 38 62 19
28 64 87 47
10 22 11 64
